stage_source,experiment_type,case_id,repetition_id,status,failure_category,failure_message,declared_sweep_variable,declared_sweep_value,worker_wall_s,T_SSE_s,peak_rss_bytes,J_A,J_D,selected_defender_action_id,selected_attacker_candidate_id,trajectory_sha256,independent_replay_passed
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-3-ba86435db2d4,local-sse-defender-count-3-ba86435db2d4-r001,completed,,,defender_action_count,3,19.18377370000053,18.759019400000398,200998912,0.18906376619883056,0.015043572080443185,0,34,2e2628015162b6fb0e5fc629f702af1f77795943c50c1f77fd970c6c4dfa3ca2,True
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-3-ba86435db2d4,local-sse-defender-count-3-ba86435db2d4-r002,completed,,,defender_action_count,3,19.31046239999887,18.876268700001674,201633792,0.18906376619883056,0.015043572080443185,0,34,2e2628015162b6fb0e5fc629f702af1f77795943c50c1f77fd970c6c4dfa3ca2,True
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-5-0eef97e47408,local-sse-defender-count-5-0eef97e47408-r000,completed,,,defender_action_count,5,19.485742600001686,19.054832999998325,201383936,0.18906376619883056,0.015043572080443185,0,34,2e2628015162b6fb0e5fc629f702af1f77795943c50c1f77fd970c6c4dfa3ca2,True
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-5-0eef97e47408,local-sse-defender-count-5-0eef97e47408-r001,completed,,,defender_action_count,5,19.502905199999077,19.060910899999726,199376896,0.18906376619883056,0.015043572080443185,0,34,2e2628015162b6fb0e5fc629f702af1f77795943c50c1f77fd970c6c4dfa3ca2,True
14.2C,stage14_2c_local_sse_defender,local-sse-defender-count-5-0eef97e47408,local-sse-defender-count-5-0eef97e47408-r002,completed,,,defender_action_count,5,19.316181599999254,18.88191580000057,201113600,0.18906376619883056,0.015043572080443185,0,34,2e2628015162b6fb0e5fc629f702af1f77795943c50c1f77fd970c6c4dfa3ca2,True
14.2C,stage14_2c_global_oracle_baseline,global-oracle-canonical-anchor-1e73ac12d4de,global-oracle-canonical-anchor-1e73ac12d4de-r000,completed,,,baseline_anchor,0,59.697362599999906,59.27433060000112,205475840,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_baseline,global-oracle-canonical-anchor-1e73ac12d4de,global-oracle-canonical-anchor-1e73ac12d4de-r001,completed,,,baseline_anchor,0,58.830654600000344,58.409136999998736,205864960,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_baseline,global-oracle-canonical-anchor-1e73ac12d4de,global-oracle-canonical-anchor-1e73ac12d4de-r002,completed,,,baseline_anchor,0,58.80155070000001,58.40248650000103,206139392,0.944086144839464,0.7814861193516704,2,26,827fe8228491a0469c901aed676fd640afac5870b094f2d62494678cd8acfb03,True
14.2C,stage14_2c_global_oracle_spatial,global-oracle-spatial-100m-327244e884b8,global-oracle-spatial-100m-327244e884b8-r000,completed,,,spatial_resolution_m,100.0,7.902117299998281,7.511610199999268,65593344,1.4049827579238952,0.912150500664634,2,26,91f6a4aa7c2edb29d55899913823c0969558eae38759e2bffc27ce34a32608a3,True
14.2C,stage14_2c_global_oracle_spatial,global-oracle-spatial-100m-327244e884b8,global-oracle-spatial-100m-327244e884b8-r001,completed,,,spatial_resolution_m,100.0,7.9318129000002955,7.5287363000006735,65605632,1.4049827579238952,0.912150500664634,2,26,91f6a4aa7c2edb29d55899913823c0969558eae38759e2bffc27ce34a32608a3,True
14.2C,stage14_2c_global_oracle_spatial,global-oracle-spatial-100m-327244e884b8,global-oracle-spatial-100m-327244e884b8-r002,completed,,,spatial_resolution_m,100.0,7.832381399999576,7.431165500000134,63016960,1.4049827579238952,0.912150500664634,2,26,91f6a4aa7c2edb29d55899913823c0969558eae38759e2bffc27ce34a32608a3,True
14.2C,stage14_2c_global_oracle_spatial,global-oracle-spatial-50m-9d6debde9b25,global-oracle-spatial-50m-9d6debde9b25-r000,completed,,,spatial_resolution_m,50.0,28.559310799999366,28.175567999998748,76431360,1.340553884072545,0.8938345470153469,2,38,af5756a788b7eac143700e6d6f125c8ebd771a46c6984078a629644cfc7ab8d5,True
14.2C,stage14_2c_global_oracle_spatial,global-oracle-spatial-50m-9d6debde9b25,global-oracle-spatial-50m-9d6debde9b25-r001,completed,,,spatial_resolution_m,50.0,28.923262400001477,28.534869299999627,76591104,1.340553884072545,0.8938345470153469,2,38,af5756a788b7eac143700e6d6f125c8ebd771a46c6984078a629644cfc7ab8d5,True
